X,Y,OBJECTID,Latitude,Longitude,ID,City,ZIP,L1_evse,L2_evse,DCFC,Charger_Type
-169756.7601,-69296.1586000007,9407,37.37755,-121.919865,206101,San Jose,95131,0,2,0,Level 2 only
-174984.5755,-49985.8812000006,9408,37.550255,-121.98354,206104,Fremont,94538,0,2,0,Level 2 only
-174988.2084,-49990.8087000009,9409,37.55021,-121.98358,206105,Fremont,94538,0,2,0,Level 2 only
-174993.1691,-49995.9308000002,9410,37.550163,-121.983635,206107,Fremont,94538,0,2,0,Level 2 only
215356.318300001,-437998.177,9411,34.049761,-117.667227,206109,Ontario,91762,0,2,0,Level 2 only
-191566.4771,-57290.0588000007,9412,37.481298,-122.169546,206111,Menlo Park,94025,0,0,1,DCFC only
-194156.9322,-18757.5683999993,9413,37.827289,-122.209039,206135,Piedmont,94611,0,2,0,Level 2 only
-168611.295499999,-75385.5155999996,9414,37.32299,-121.90553,206146,San Jose,95126,0,2,0,Level 2 only
-168610.8979,-75387.7473000009,9415,37.32297,-121.905525,206147,San Jose,95126,0,2,0,Level 2 only
-210343.024599999,-22766.6849000007,9416,37.787703,-122.391971,206150,San Francisco,94105,0,2,0,Level 2 only
-179895.202099999,-50737.4104999993,9417,37.542559,-122.039004,206151,Newark,94560,0,2,0,Level 2 only
-176599.463300001,-53242.5942000002,9418,37.52066,-122.001061,206153,Newark,94560,0,2,0,Level 2 only
31394.3267999999,-75840.6176999994,9419,37.333611,-119.645191,206268,Oakhurst,93644,0,0,8,DCFC only
-91644.9195000008,101662.2281,9420,38.926331,-121.058145,206269,Auburn,95603,0,0,12,DCFC only
4256.82829999924,-129460.791300001,9421,36.851744,-119.952207,206274,Madera,93637,0,0,16,DCFC only
295562.090399999,-449641.8359,9422,33.923748,-116.803242,206275,Cabazon,92230,0,0,12,DCFC only
267723.403999999,-582279.6101,9423,32.735618,-117.147301,206287,San Diego,92101,0,5,0,Level 2 only
195769.561700001,-478206.0366,9424,33.691459,-117.889017,206293,Costa Mesa,92626,0,2,0,Level 2 only
198593.592900001,-467162.7133,9425,33.790451,-117.855883,206295,Orange,92866,0,1,0,Level 2 only
160894.679499999,-439692.4886,9426,34.045042,-118.257349,206297,Los Angeles,90014,0,2,0,Level 2 only
160856.787799999,-439700.9513,9427,34.044972,-118.257761,206298,Los Angeles,90014,0,2,0,Level 2 only
171973.9509,-464667.8598,9428,33.818008,-118.142677,206312,Long Beach,90808,0,2,0,Level 2 only
171973.648699999,-464676.0739,9429,33.817934,-118.142682,206313,Long Beach,90808,0,2,0,Level 2 only
171973.1459,-464669.3176,9430,33.817995,-118.142686,206314,Long Beach,90808,0,2,0,Level 2 only
171972.745700002,-464658.3442,9431,33.818094,-118.142688,206315,Long Beach,90808,0,2,0,Level 2 only
171974.920400001,-464684.2571,9432,33.81786,-118.14267,206316,Long Beach,90808,0,2,0,Level 2 only
171985.005800001,-464650.6723,9433,33.818161,-118.142554,206323,Long Beach,90806,0,1,0,Level 2 only
171989.094500002,-464651.3687,9434,33.818154,-118.14251,206324,Long Beach,90806,0,1,0,Level 2 only
190957.728799999,-458644.2867,9435,33.868771,-117.936296,206332,Fullerton,92832,0,2,0,Level 2 only
208795.478799999,-482474.0824,9436,33.650275,-117.749701,206342,Irvine,92618,0,1,0,Level 2 only
208670.093899999,-482462.9727,9437,33.650402,-117.751049,206343,Irvine,92618,0,2,0,Level 2 only
208664.715999998,-482463.2112,9438,33.650401,-117.751107,206344,Irvine,92618,0,2,0,Level 2 only
-179898.316400001,-50787.8241000008,9439,37.542105,-122.039027,206369,Newark,94560,0,2,0,Level 2 only
-176587.920700001,-53235.2769000009,9440,37.520728,-122.000932,206373,Newark,94560,0,2,0,Level 2 only
-157230.543199999,191431.4165,9441,39.72503,-121.83531,206380,Chico,95928,0,0,1,DCFC only
-210881.7862,-22349.5186000001,9442,37.791332,-122.398215,206389,San Francisco,94105,0,2,0,Level 2 only
-167385.714299999,-33455.9835999999,9443,37.70032,-121.901184,206434,Pleasanton,94588,0,2,0,Level 2 only
363586.641199999,-423695.178,9444,34.134407,-116.056596,206438,Twentynine Palms,92277,0,0,1,DCFC only
363577.5042,-423684.1217,9445,34.13451,-116.05669,206439,Twentynine Palms,92277,0,0,1,DCFC only
363580.4527,-423679.5576,9446,34.13455,-116.056656,206440,Twentynine Palms,92277,0,0,1,DCFC only
-197398.7586,-58150.7369999997,9447,37.472339,-122.235344,206471,Redwood City,94061,0,2,0,Level 2 only
-105002.546799999,86988.9986000005,9448,38.79289,-121.210194,206476,Rocklin,95677,0,2,0,Level 2 only
328648.550500002,-461919.2927,9449,33.802504,-116.450669,206486,Cathedral City,92234,0,2,0,Level 2 only
328648.2119,-461915.1993,9450,33.802541,-116.450671,206487,Cathedral City,92234,0,2,0,Level 2 only
328648.109299999,-461909.9873,9451,33.802588,-116.45067,206488,Cathedral City,92234,0,2,0,Level 2 only
328648.128400002,-461905.5475,9452,33.802628,-116.450668,206490,Cathedral City,92234,0,2,0,Level 2 only
328648.182399999,-461906.9882,9453,33.802615,-116.450668,206491,Cathedral City,92234,0,2,0,Level 2 only
-179492.7334,-75751.1270000003,9454,37.317671,-122.028379,206492,Cupertino,95014,0,1,0,Level 2 only
-179492.785700001,-75753.5720000006,9455,37.317649,-122.028379,206493,Cupertino,95014,0,1,0,Level 2 only
261149.138999999,-567091.0019,9456,32.87446,-117.212555,206506,San Diego,92122,0,1,0,Level 2 only
261144.917800002,-567090.9044,9457,32.874462,-117.2126,206507,San Diego,92122,0,2,0,Level 2 only
143576.855500001,-439860.7923,9458,34.04624,-118.444914,206519,Los Angeles,90025,0,1,0,Level 2 only
143572.313299999,-439854.0993,9459,34.046301,-118.444962,206520,Los Angeles,90025,0,1,0,Level 2 only
143581.953499999,-439867.5872,9460,34.046178,-118.44486,206521,Los Angeles,90025,0,1,0,Level 2 only
170813.270399999,-430364.1432,9461,34.127422,-118.147973,206524,Pasadena,91106,0,0,6,DCFC only
-25787.063099999,-102843.006899999,9462,37.090868,-120.290526,206525,Chowchilla,93610,0,2,2,Level 2 and DC Fast Chargers
-247408.9016,304298.1424,9463,40.72053,-122.928066,206611,Weaverville,96093,0,0,8,DCFC only
-178152.819700001,-45815.2773000002,9464,37.587162,-122.02045,206612,Union City,94587,0,0,12,DCFC only
149667.2027,-437613.1937,9465,34.065579,-118.378545,206698,Beverly Hills,90211,0,1,0,Level 2 only
-181404.2882,-73641.2517000008,9466,37.33627695,-122.0504895,206726,Cupertino,95014,0,20,2,Level 2 and DC Fast Chargers
209787.378899999,-482720.2095,9467,33.647843,-117.739078,206741,Irvine,92618,0,0,1,DCFC only
139546.035599999,-442179.3055,9468,34.025929,-118.488965,206762,Santa Monica,90404,0,2,0,Level 2 only
